time,open,high,low,close,Volume,Volume MA
1618120500,59739.04,59830.73,59616.34,59679.97,134.02273600000032,179.87630825000008
1618120800,59679.96,59770.65,59600.29,59600.3,163.80467800000048,183.1363274500001
1618121100,59600.29,59678.74,59414.76,59445.27,205.26609200000112,188.75027035000014
1618121400,59445.27,59482.3,59354.18,59354.19,231.39751499999986,195.6205095000001
1618121700,59354.19,59525.06,59339.83,59500.01,170.8724300000006,198.71850290000015
1618122000,59500.01,59577.31,59500,59524.76,119.90741800000005,192.50437020000018
1618122300,59524.77,59526.19,59410.15,59440.54,97.84951600000028,187.69189655000017
1618122600,59440.53,59551.73,59440.53,59520.66,145.4846899999996,190.33029780000015
1618122900,59520.65,59614.8,59433.61,59611.24,231.7347030000002,196.95734780000015
1618123200,59611.24,59761.39,59505.83,59761.39,128.36893999999972,196.22601150000017
1618123500,59761.38,59892.62,59661.44,59892.61,232.67606899999882,197.75558070000017
1618123800,59892.62,59909.68,59784.75,59795.66,178.9833219999997,195.7085754000002
1618124100,59795.66,59818.87,59714.69,59735,140.51697099999998,190.87329380000017
1618124400,59735.01,59790.15,59672.75,59675.32,97.66304699999975,189.52803525000013
1618124700,59675.32,59700,59629.63,59641.19,73.33627300000006,171.27915035000024
1618125000,59641.18,59641.19,59400,59431.61,192.45209999999898,169.6468059500002
1618125300,59434.47,59621.75,59431.61,59618.06,127.53241799999998,161.01449900000028
1618125600,59618.06,59637.86,59544.3,59623.8,91.31323499999988,155.98632380000032
1618125900,59623.81,59717.51,59602.45,59697.32,87.90022300000011,150.78677860000036
1618126200,59697.33,59697.73,59571.62,59574.27,76.44544999999997,146.37639130000042
1618126500,59574.27,59665.42,59542.29,59557.62,87.03132699999968,144.02682085000038
1618126800,59557.61,59697.74,59557.61,59697.74,71.50159200000019,139.41166655000035
1618127100,59697.73,59754.59,59668.12,59751.01,89.72392400000007,133.6345581500003
1618127400,59751,59752.93,59628.29,59631.8,103.5890419999999,127.24413450000031
1618127700,59631.81,59712.84,59630,59655.49,94.12323499999997,123.40667475000028
1618128000,59655.5,59800,59655.49,59758.88,150.8837979999993,124.95549375000023
1618128300,59758.89,59874.8,59728.95,59838.01,126.8723349999998,126.40663470000023
1618128600,59838,59843.87,59771.53,59813.78,84.25582100000013,123.34519125000024
1618128900,59813.78,59897.2,59783.53,59895.85,78.78008599999997,115.69746040000022
1618129200,59895.84,60144.7,59839.74,60097.17,221.6073389999995,120.35938035000022
1618129500,60097.17,60118.72,60003.12,60050.83,122.22088699999983,114.83662125000028
1618129800,60050.84,60059.94,59931.98,59981.74,118.46851799999996,111.8108810500003
1618130100,59981.74,59990.97,59928.15,59928.15,106.13274100000031,110.09166955000032
1618130400,59928.14,59997,59840.83,59993.61,145.59717199999938,112.48837580000031
1618130700,59993.61,60070,59987.9,60034.98,111.34675900000002,114.38890010000031
1618131000,60034.98,60040.62,59937.34,60010.79,92.725773,109.40258375000037
1618131300,60010.78,60037.06,59944.86,59961.81,74.66357499999984,106.75914160000039
1618131600,59961.81,60045,59855,59923.82,100.83974200000011,107.23546695000041
